Exchange,MarginDate,IM
1,1,850
1,2,740
1,3,900
1,4,1070
1,5,930
1,6,850
1,7,950
1,8,980
1,9,980
1,10,880
1,11,1000
1,12,980
1,13,930
1,14,650
1,15,760
1,16,810
1,17,1000
1,18,1000
1,19,960
1,20,960
2,1,960
2,2,940
2,3,960
2,4,940
2,5,880
2,6,800
2,7,850
2,8,880
2,9,900
2,10,840
2,11,830
2,12,790
2,13,810
2,14,880
2,15,880
2,16,830
2,17,800
2,18,790
2,19,760
2,20,800
3,1/1/15,880
3,1/2/15,880
3,1/3/15,880
3,1/4/15,860
3,1/5/15,720
3,1/6/15,720
3,1/7/15,620
3,1/8/15,860
3,1/9/15,970
3,1/10/15,950
3,1/11/15,880
3,1/12/15,910
3,1/13/15,850
3,1/14/15,870
3,1/15/15,840
3,1/16/15,840
3,1/17/15,850
3,1/18/15,840
3,1/19/15,840
3,1/20/15,840
4,1/1/15,890
4,1/2/15,810
4,1/3/15,810
4,1/4/15,820
4,1/5/15,800
4,1/6/15,770
4,1/7/15,760
4,1/8/15,740
4,1/9/15,750
4,1/10/15,760
4,1/11/15,910
4,1/12/15,920
4,1/13/15,890
4,1/14/15,860
4,1/15/15,880
4,1/16/15,720
4,1/17/15,840
4,1/18/15,850
4,1/19/15,850
4,1/20/15,780
5,1/1/15,890
5,1/2/15,840
5,1/3/15,780
5,1/4/15,810
5,1/5/15,760
5,1/6/15,810
5,1/7/15,790
5,1/8/15,810
5,1/9/15,820
5,1/10/15,850
5,1/11/15,870
5,1/12/15,870
5,1/13/15,810
5,1/14/15,740
5,1/15/15,810
5,1/16/15,940
5,1/17/15,950
5,1/18/15,800
5,1/19/15,810
5,1/20/15,870
